Season,Team,POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,player_strength
2017,Punjab,6,KC Cariappa,4,4,15,127,4,0,31.75,8.46,22.5,0,0,137.2033097
2017,Punjab,7,Rahul Tewatia,3,3,9,49,3,0,16.33,5.44,18,0,0,195.8235294
2017,Punjab,8,T Natarajan,6,6,12.4,115,2,0,57.5,9.07,38,0,0,124.6535832
2017,Punjab,9,Marcus Stoinis,5,5,10.3,110,2,0,55,10.47,31.5,0,0,107.8109838
2017,Punjab,10,Swapnil Singh,4,4,7,61,1,0,61,8.71,42,0,0,122.8105626
2017,Punjab,11,Matt Henry,2,2,5,71,1,0,71,14.2,30,0,0,76.42253521
2017,Punjab,12,Ishant Sharma,6,6,18,179,0,0,50,9.94,-,0,0,118.6036217
2017,Kolkata,1,UmeshYadav,14,14,48.3,410,17,0,24.11,8.45,17.11,1,0,183.6431953
2017,Kolkata,2,Chris Woakes,13,13,44,386,17,0,22.7,8.77,15.52,0,0,175.0250855
2017,Kolkata,3,Nathan Coulter-Nile,8,8,28.2,228,15,0,15.2,8.04,11.33,0,0,167.5781095
2017,Kolkata,4,Kuldeep Yadav,12,11,41,340,12,0,28.33,8.29,20.5,0,0,173.6272618
2017,Kolkata,5,Sunil Narine,16,15,59,412,10,0,41.2,6.98,35.4,0,0,212.2664756
2017,Kolkata,6,Piyush Chawla,6,6,20,179,6,0,29.83,8.95,20,0,0,137.7318436
2017,Kolkata,7,Trent Boult,6,6,23.5,216,5,0,43.2,9.06,28.6,0,0,138.8752759
2017,Kolkata,8,Ankit Rajpoot,5,5,14,107,4,0,26.75,7.64,21,0,0,148.8900524
2017,Kolkata,9,Colin de Grandhomme,12,9,16,135,4,0,33.75,8.43,24,0,0,138.623962
2017,Kolkata,10,Yusuf Pathan,15,4,4,41,1,0,41,10.25,24,0,0,102.5609756
2017,Kolkata,11,Shakib Al Hasan,1,1,3,31,0,0,50,10.33,-,0,0,99.8054211
2017,Mumbai,1,JaspritBumrah,16,16,59.2,439,20,0,21.95,7.39,17.8,0,0,214.5179973
2017,Mumbai,2,Mitchell McClenaghan,14,14,54,507,19,0,26.68,9.38,17.05,0,0,179.6098081
2017,Mumbai,3,Karn Sharma,9,9,30.4,214,13,0,16.46,6.97,14.15,1,0,186.872023
2017,Mumbai,4,Lasith Malinga,12,12,44.5,382,11,0,34.72,8.52,24.45,0,0,172.870892
2017,Mumbai,5,Krunal Pandya,13,13,40,273,10,0,27.3,6.82,24,0,0,196.627566
2017,Mumbai,6,Harbhajan Singh,11,11,41,266,8,0,33.25,6.48,30.75,0,0,203.3209877
2017,Mumbai,7,Mitchell Johnson,5,5,20,141,7,0,20.14,7.05,17.14,0,0,168.8439716
2017,Mumbai,8,Hardik Pandya,17,13,26,213,6,0,35.5,8.19,26,0,0,154.1001221
2017,Mumbai,9,Tim Southee,3,3,10,96,3,0,32,9.6,20,0,0,117.1666667
2017,Mumbai,10,Vinay Kumar,1,1,3,31,2,0,15.5,10.33,9,0,0,101.8054211
2017,Pune,1,JaydevUnadkat,12,12,45.5,322,24,0,13.41,7.02,11.45,0,1,211.9501425
2017,Pune,2,Imran Tahir,12,12,47,369,18,0,20.5,7.85,15.66,0,0,192.388535
2017,Pune,3,Ben Stokes,12,12,44,316,12,0,26.33,7.18,22,0,0,195.275766
2017,Pune,4,Dan Christian,13,13,40,298,11,0,27.09,7.45,21.81,0,0,185.2281879
